run_id,scenario,expected_chain,observed_chain,prompt_recovered,assistant_response_recovered,tool_sequence_recovered,tool_sequence,tool_use_result_pairing,tool_use_count,tool_result_count,actual_target_recovered,side_effect_or_result_represented_in_jsonl,capability_label_correct,marker_expected_location_recovered,marker,reconstruction_outcome,primary_jsonl,notes
CLAUDE-WIN-A-PROMPT-NOTOOL-R01,PROMPT-NOTOOL,prompt_only,prompt_only,E,E,E,(none),X,0,0,X,X,E,E,CLAUDE_WIN_A_PROMPT_NOTOOL_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-PROMPT-NOTOOL-R01\extracted\evidence\agent\user_dot_claude\projects\C--Users-<USER>\96c7e775-1b8d-40db-8617-118ee12da94b.jsonl,capability_surfaces=3; not counted as invocation
CLAUDE-WIN-A-READ-FILE-R01,READ-FILE,file_read,file_read,E,E,E,Read > Glob > Read,E,3,3,E,X,E,E,CLAUDE_WIN_A_READ_FILE_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-READ-FILE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-read-file\c78c75c5-424f-41c4-9d35-1c7b8bcafce7.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\projects\a_read_file\sample.txt | *.txt | <AGENT_FORENSICS_ROOT>\projects\a_read_file\sample.txt.txt
CLAUDE-WIN-A-EDIT-FILE-R01,EDIT-FILE,file_write,file_write,E,E,E,Read > Write,E,2,2,E,E,E,E,CLAUDE_WIN_EDIT_MARKER_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-EDIT-FILE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-edit-file\5b4785e6-fda9-459f-8980-7e29855a1a36.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\projects\a_edit_file\app.py | <AGENT_FORENSICS_ROOT>\projects\a_edit_file\app.py | <AGENT_FORENSICS_ROOT>\projects\a_edit_file\app.py
CLAUDE-WIN-A-SHELL-COMMAND-R01,SHELL-COMMAND,shell,shell,E,E,E,Bash > PowerShell,E,2,2,E,E,E,N,CLAUDE_WIN_A_SHELL_CMD_R01,Partial,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-SHELL-COMMAND-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-shell-command\462b3f08-b22d-41f2-80b7-609fa89fcca8.jsonl,"capability_surfaces=3; not counted as invocation; targets=dir <AGENT_FORENSICS_ROOT>\projects\a_shell_command | dir ""<AGENT_FORENSICS_ROOT>\projects\a_shell_command"""
CLAUDE-WIN-A-MULTIFILE-CREATE-R01,MULTIFILE-CREATE,file_write,file_write,E,E,E,Write > Write > Write,E,3,3,E,E,E,E,CLAUDE_WIN_MULTIFILE_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MULTIFILE-CREATE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-multifile-create\73de2d7d-6e07-466b-a1d5-64615e68b720.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\projects\a_multifile_create\main.py | <AGENT_FORENSICS_ROOT>\projects\a_multifile_create\README.md | <AGENT_FORENSICS_ROOT>\projects\a_multifile_create\requirements.txt; marker_project=<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MULTIFILE-CREATE-R01\extracted\evidence\project\project_copy\README.md
CLAUDE-WIN-A-SETTINGS-READ-R01,SETTINGS-READ,settings_read,settings_read,P,E,E,Read > Read,E,2,2,E,X,E,E,CLAUDE_WIN_A_SETTINGS_READ_R01,Partial,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-SETTINGS-READ-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-settings-read\caa8cbe8-19b4-49b4-941f-d503fee0c111.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\projects\a_settings_read\.claude\settings.json | C:\Users\<USER>\.claude\settings.json | C:\Users\<USER>\.claude\settings.json
CLAUDE-WIN-A-CLAUDEMD-R01,CLAUDEMD,claudemd,claudemd,E,E,E,Glob,E,1,1,E,X,E,E,CLAUDE_MD_MARKER_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-CLAUDEMD-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-project-a-claudemd\461a3d8f-3f6d-419e-89b1-bb954abfca67.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\project\a_claudemd | **/*
CLAUDE-WIN-A-MCP-BENIGN-R01,MCP-BENIGN,mcp,mcp,E,E,E,ToolSearch > mcp__lab_marker_server__lab_marker,E,2,2,E,E,E,E,CLAUDE_MCP_MARKER_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MCP-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-mcp-benign\73b6ef4e-5fac-4ebc-a080-a3d08207813b.jsonl,capability_surfaces=3; not counted as invocation; targets=select:mcp__lab_marker_server__lab_marker; marker_project=<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MCP-BENIGN-R01\extracted\evidence\project\project_copy\mcp_server.py
CLAUDE-WIN-A-HOOK-BENIGN-R01,HOOK-BENIGN,hook,hook,E,E,E,Write,E,1,1,E,E,E,E,CLAUDE_HOOK_MARKER_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-HOOK-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-hook-benign\c1ca60b4-69e5-46e4-a5c0-93d9e4d975d4.jsonl,capability_surfaces=3; not counted as invocation; targets=<AGENT_FORENSICS_ROOT>\projects\a_hook_benign\hook_input.txt | <AGENT_FORENSICS_ROOT>\projects\a_hook_benign\hook_input.txt; marker_project=<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-HOOK-BENIGN-R01\extracted\evidence\project\project_copy\.claude\settings.json
CLAUDE-WIN-A-WEBFETCH-BENIGN-R01,WEBFETCH-BENIGN-PUBLIC,webfetch,webfetch,E,E,E,ToolSearch > WebFetch,E,2,2,E,E,E,E,CLAUDE_WEBFETCH_MARKER_R01,Full,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-WEBFETCH-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-webfetch-benign\8da79e45-631d-4fbe-a7d5-0fd2a7b1e4d9.jsonl,capability_surfaces=3; not counted as invocation; targets=select:WebFetch | https://raw.githubusercontent.com/panta441/test/main/webfetch_marker.html | https://raw.githubusercontent.com/panta441/test/main/webfetch_marker.html
